No.,COMPANY,PRODUCT NAME,TYPE OF PRODUCT,GUARANTEED ANALYSIS,TARGET CROP/S,REGISTRATION NO.,EXPIRY DATE
1781,Soiltech Agricultural Products Corp.,Sunrise NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",Food Crops and Plantation,1-1IF-9372,"February 01, 2027"
1782,Soiltech Agricultural Products Corp.,Sunrise NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",Plantation and Food crops,1-1IF-9384,"February 15, 2027"
1783,Soiltech Agricultural Products Corp.,Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",Plantation and Food crops,1-1IF-9385,"February 15, 2027"
1784,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",Plantation and Food crops,1-1IF-9398,"February 26, 2027"
1785,Soiltech Agricultural Products Corp.,Sunrise NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",Plantation and Food crops,1-1IF-9399,"February 26, 2027"
1786,Soiltech Agricultural Products Corp.,Sunrise Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-7228,"June 25, 2027"
1787,Soiltech Agricultural Products Corp.,Swire 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-7227,"June 25, 2027"
1788,Soiltech Agricultural Products Corp.,Sunrise 16-20-0 Ammophos,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8527,"November 22, 2027"
1789,Soiltech Agricultural Products Corp.,Swire 16-20-0 Ammophos,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8526,"November 22, 2027"
1790,Soiltech Agricultural Products Corp.,Sunrise Complete 16-16-16,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=16%",All Crops,1-1IF-9577,"October 07, 2027"
1791,Soiltech Agricultural Products Corp.,Swire Complete 16-16-16,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=16%",All Crops,1-1IF-9576,"October 10, 2027"
1792,Soiltech Agricultural Products Corp.,Sunrise Planters NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8751,"June 03, 2028"
1793,Soiltech Agricultural Products Corp.,SWIRE NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8752,"June 03, 2028"
1794,Soiltech Agricultural Products Corp.,Sunrise Planters NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8696,"May 02, 2028"
1795,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8695,"May 02, 2028"
1796,Soiltech Agricultural Products Corp.,Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9766,"May 21, 2028"
1797,Soiltech Agricultural Products Corp.,Sunrise NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9773,"May 21, 2028"
1798,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8730,"May 19, 2028"
1799,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-3388,"May 28, 2028"
1800,Soiltech Agricultural Products Corp.,Sunrise Planters NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8731,"May 19, 2028"
1801,Soiltech Agricultural Products Corp.,Sunrise Planters NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-3387,"May 28, 2028"
1802,Soiltech Agricultural Products Corp.,Sunrise Planters NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8753,"June 03, 2028"
1803,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8748,"June 03, 2028"
1804,Soiltech Agricultural Products Corp.,Sunrise Planters NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8749,"June 02, 2028"
1805,Soiltech Agricultural Products Corp.,Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8750,"June 03, 2028"
1806,Soiltech Agricultural Products Corp.,Sunrise NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9827,"July 29, 2028"
1807,Soiltech Agricultural Products Corp.,Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9829,"July 30, 2028"
1808,Southland Consumers Cooperative,Mr. Planters 14-14-14+11S,Inorganic Fertilizer,"N= 14%, P2O5= 14%, K2O= 14%, S= 11%",All Crops,1-1LF-3748,"December 04, 2026"
1809,Southland Consumers Cooperative,Agro N + Zn Granular 21-0-0-1.5 Zn,Inorganic Fertilizer,"N= 21%, Zn= 1.5%",All Crops,1-1LF-7884,"February 19, 2026"
1810,Southland Consumers Cooperative,Mr. Planters 10-10-10,Inorganic Fertilizer,"N=10%, P2O5=10%, K2O=10%",All Crops,1-1LF-8872,"October 10, 2025"
1811,Southland Consumers Cooperative,Mr. Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9370,"February 01, 2027"
1812,Southland Consumers Cooperative,Mr. Planters 14-14-14 Complete Fertilizer,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9389,"February 19, 2027"
1813,Southland Consumers Cooperative,Mr. Planters 16-16-8,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=8%",All Crops,1-1IF-9390,"February 19, 2027"
1814,Southland Consumers Cooperative,Mr. Planters 21-0-0 Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9496,"June 26, 2027"
1815,Southland Consumers Cooperative,Mr. Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0846-TPA,"February 06, 2027"
1816,Southland Consumers Cooperative,Mr. Planters 21-0-0 Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-0845-TPA,"March 01, 2027"
1817,Southland Consumers Cooperative,Mr. Planters 46-0-0 Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9497,"June 28, 2027"
1818,Southland Consumers Cooperative,Mr. Planters 46-0-0 Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9499,"June 28, 2027"
1819,Southland Consumers Cooperative,Mr. Planters 18-46-0 Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-9498,"June 28, 2027"
1820,Southland Consumers Cooperative,Mr. Planters Prilled Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9519,"July 11, 2027"
1821,Southland Consumers Cooperative,Mr. Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%,",All Crops,1-1IF-9520,"July 11, 2027"
1822,Southland Consumers Cooperative,"Go, Grow & Glow Zinc Sulphate Heptahydrate",Inorganic Fertilizer,Zn=21%,All Crops,1-1IF-0851-TPA,"June 22, 2026"
1823,Southland Consumers Cooperative,"Go, Grow & Glow Sulphate of Potash",Inorganic Fertilizer,K2O=52%,All Crops,1-1IF-0852-TPA,"July 06, 2026"
1824,Southland Consumers Cooperative,Mr. Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-0855-TPA,"June 21, 2027"
1825,Southland Consumers Cooperative,Mr. Planters 21-0-0+24s Ammonium Sulphate,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-0856-TPA,"June 26, 2027"
1826,Southland Consumers Cooperative,Mr. Planters 18-46-0 Di-Ammonium Phosphate,Inorganic Fertilizer,"N=18%, P2O5=46%",All Crops,1-1IF-0857-TPA,"June 26, 2027"
1827,Southland Consumers Cooperative,"Go, Grow and Glow 20-5-30 Foliar",Inorganic Fertilizer,"N=20%, P2O5=5%, K2O=30%",All Crops,1-1LF-8387,"August 02, 2027"
1828,Southland Consumers Cooperative,Agro N Granular,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1LF-4037,"August 10, 2027"
1829,Southland Consumers Cooperative,Mr. Planters 17-0-17,Inorganic Fertilizer,"N=17%, K2O=17%",All Crops,1-1LF-4073,"September 29, 2027"
1830,Southland Consumers Cooperative,"Go, Grow and Glow 4-0-48 Foliar",Inorganic Fertilizer,"N=4%, K2O=48%",All Crops,1-1LF-8390,"August 02, 2027"
1831,Southland Consumers Cooperative,Mr. Planters 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9554,"September 04, 2027"
1832,Southland Consumers Cooperative,Mr Planters Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9555,"September 04, 2027"
1833,Southland Consumers Cooperative,Mr. Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-0869-TPA,"April 22, 2027"
1834,Southland Consumers Cooperative,Mr. Planters Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-0870-TPA,"March 18, 2027"
1835,Southland Consumers Cooperative,Mr. Planters Granular Urea + 0.25 Zinc,Inorganic Fertilizer,"N=46%, Zn = 0.25%",All Crops,1-1LF-9562,"September 12, 2027"
1836,Southland Consumers Cooperative,Mr. Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-0881-TPA,"September 04, 2027"
1837,Southland Consumers Cooperative,Mr. Planters Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9617,"November 08, 2027"
1838,Southland Consumers Cooperative,Mr. Planters 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1LF-9626,"November 20, 2027"
1839,Southland Consumers Cooperative,Mr. Planters Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9640,"November 22, 2027"
1840,Southland Consumers Cooperative,"Go, Grow and Glow 20-20-20 Foliar",Inorganic Fertilizer,"N=20%, P2O5=20%, K2O=20%",All Crops,1-1LF-8389,"August 02, 2027"
1841,Southland Consumers Cooperative,"Go, Grow and Glow 30-10-10 Foliar",Inorganic Fertilizer,"N=30%, P2O5=10%, K2O=10%",All Crops,1-1LF-8388,"August 02, 2027"
1842,Southland Consumers Cooperative,"Go, Grow and Glow 15-15-30 Foliar",Inorganic Fertilizer,"N=15%, P2O5=15%, K2O=30%",All Crops,1-1LF-8391,"August 02, 2027"
1843,Southland Consumers Cooperative,Mr. Planters 10-30-10,Inorganic Fertilizer,"N=10%, P2O5=30%, K2O=10%",All Crops,1-1LF-8116,"November 27, 2026"
1844,Southland Consumers Cooperative,Mr. Planters 21-0-0 Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9679,"January 16, 2028"
1845,Southland Consumers Cooperative,Aura 17.8-0-30+1.20Zn+3.4S,Inorganic Fertilizer,"N=17.80%, K2O=30%, S=3.40%, Zn=1.20%",All Crops,1-1LF-9691,"February 11, 2028"
1846,Southland Consumers Cooperative,Kurea Granular 42-0-5,Inorganic Fertilizer,"N=42%, K2O=5%",All Crops,1-1IF-9740,"April 23, 2028"
1847,Southland Consumers Cooperative,Mr. Planters Prilled Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9756,"May 08, 2028"
1848,Southland Consumers Cooperative,Mr. Planters 14-14-14 Complete,Inorganic Fertilizer,"N=14%,P2O5=14%, K2O=14%",All Crops,1-1IF-9778,"May 26, 2028"
1849,Southland Consumers Cooperative,Mr. Planters Granular Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9779,"May 26, 2028"
1850,Southland Consumers Cooperative,Mr. Planters 16-20-0 Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9783,"June 02, 2028"
1851,Southland Consumers Cooperative,Mr. Planters 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1LF-9784,"June 02, 2028"
1852,Southland Consumers Cooperative,Mr. Planters Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9824,"July 30, 2028"
1853,St. Ruiz Agro Farm Supply and General Merchandise,Rich Soil,Fortified Organic Fertilizer,"N= 3%, P2O5= 3%, K2O= 2%, OM= 30%","Rice/Palay, Vegetables, Corn",1-2LF-2863,"November 21, 2026"
1854,St. Ruiz Agro Farm Supply and General Merchandise,Fertisolvo,Soil Conditioner,"N=1%, P2O5=1%, K2O=2%, Ca=14%, Mg=10%","Vegetables, Rice & Corn",1-4LF-1376,"June 24, 2028"
1855,Stoller Philippines Inc.,Sugar Mover,Inorganic Fertilizer,"B=8%, Mo=0.004%",Mango and Corn,1-1IF-2053,"June 29, 2026"
1856,Stoller Philippines Inc.,Nitrate Balancer,Inorganic Fertilizer,"B= 9%, Mo=0.005%",All Crops,1-5IF-044,"September 16, 2025"
1857,Stoller Philippines Inc.,Carrier Inorganic Fertilizer,Inorganic Fertilizer,Soya Oil=92.34%,Rice,1-5IF-046,"February 04, 2026"
1858,Stoller Philippines Inc.,N-Large,Plant Growth Regulator,Gibbrellic Acid = 4%,"Pineapple, Banana",1-5IF-048,"October 14, 2026"
1859,Stoller Philippines Inc.,Harvest More 4-0-48,Inorganic Fertilizer,"N=4% w/w, P2O5=48% w/w,",All Crops,1-1IF-2189,"June 28, 2027"
1860,Successmore Being (Philippines) Ltd OPC,Transform Plus Formula 1,Inorganic Fertilizer,"Mg=2% w/v, Zn=1.2% w/v",All Crops,1-1IF-9579,"October 28, 2027"
1861,Successmore Being (Philippines) Ltd OPC,Transform Plus Formula 2,Inorganic Fertilizer,"Mg=1.2% w/v, S=3.5% w/v, Fe=0.428% w/v, Cu=0.055% w/v, Zn=1.2% w/v, B=0.249% w/v, Mn=0.596% w/v",All Crops,1-1IF-9580,"October 28, 2027"
1862,"Sumitomo Chemical Philippines, Inc.",RyzUp 40SG,Plant Growth Regulator,Giberrellic Acid= 40% w/w,All Crops,1-5IF-1136,"October 23, 2026"
1863,"Sumitomo Chemical Philippines, Inc.",ProGibb 40 SG,Plant Growth Regulator,Gibberellic Acid= 40% w/w,All Crops,1-5IF-1141,"January 10, 2027"
1864,"Sumitomo Chemical Philippines, Inc.",MycoApply EndoSmart,Biofertilizer,Vesicular Arbuscular Mycorrhizae (VAM) =100 spores/g,"Rice, Annual and Biennial Industrial Crops, Fruiting and Leafy Vegetables, Corn, Roots Crops and Perennial Industrial Crops",1-7IF-0004,"February 01, 2028"
1865,"Sumitomo Chemical Philippines, Inc.",SmartFoil,Biostimulant,Fulvic Acid = 26.1% w/w,Banana (Perennial Industrial Crops),1-7IF-0024,"June 24, 2027"
1866,Sunjoy Agro (Philippines) Inc.,BIRDOFF A,Inorganic Fertilizer,Zn=10% w/v,Rice,1-1IF-9596,"November 06, 2027"
1867,Suno Agrotech Inc.,Suno Paclobutrazol 25 SC,Plant Growth Regulator,Paclobutrazol=25%,Mango,1-5IF-1161,"November 23, 2027"
1868,Sure Crop Science Agriventures Inc.,Sure Crop Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9791,"June 16, 2028"
1869,Sure Crop Science Agriventures Inc.,Sure Crop Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9722,"April 04, 2028"
1870,Sure Crop Science Agriventures Inc.,Sure Crop NPK 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9723,"April 04, 2028"
1871,"Sustainable Agri Solutions, Inc.",Red Wonder Inorganic Fertilizer,Inorganic Fertilizer,"N= 10.17%, P2O5= 0.21%, K2O= 0.23%",All Crops,1-2IF-1237,"June 18, 2026"
1872,"Sustainable Agri Solutions, Inc.",Green Wonder,Inorganic Fertilizer,"N=1.82%,  P2O5=0.13%, K2O=0.30%",All Crops,1-2IF-1236,"June 18, 2026"
1873,"Sustainable Agri Solutions, Inc.",Double Eagle Nano Amino Liquid Fertilizer,Inorganic Fertilizer,"N=1.67%, P2O5=0.04%, K2O=0.90%, Glutamic Acid= 1.28%, Proline= 1.12%, Leucine= 0.86%",All Crops,1-1IF-2852,"June 18, 2026"
1874,"Sustainable Agri Solutions, Inc.",Nano Amino Tablet Foliar,Inorganic Fertilizer,"N=2.4%, P2O5=0.02%, K2O=1%, Ca=0.04%, Mg=0.02%, OM=43%, Total amino acids=3.4g/100g",All Crops,1-1IF-4765,"May 04, 2027"
1875,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9828,"July 30, 2028"
1876,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8713,"May 16, 2028"
1877,"Swire Agrotech Agricultural Products, Inc.",Swire Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9234,"September 19, 2026"
1878,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9248,"October 03, 2026"
1879,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9249,"October 09, 2026"
1880,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9250,"October 03, 2026"
1881,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9251,"October 03, 2026"
1882,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulphate,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-4370,"December 08, 2025"
1883,"Swire Agrotech Agricultural Products, Inc.",Swire Ammonium Phosphate,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-7555,"December 08, 2025"
1884,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8870,"October 07, 2025"
1885,"Swire Agrotech Agricultural Products, Inc.",Swire Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9072,"April 27, 2026"
1886,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9080,"May 02, 2026"
1887,"Swire Agrotech Agricultural Products, Inc.",Swire Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9081,"May 02, 2026"
1888,"Swire Agrotech Agricultural Products, Inc.",Swire Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-7944,"June 11, 2026"
1889,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9136,"July 06, 2026"
1890,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9138,"July 06, 2026"
1891,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9139,"July 06, 2026"
1892,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8871,"October 07, 2025"
1893,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulphate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9137,"July 06, 2026"
1894,"Swire Agrotech Agricultural Products, Inc.",Swire Urea,Inorganic Fertilizer,N= 46%,"Food Crops, Plantation",1-1IF-9300,"October 26, 2026"
1895,"Swire Agrotech Agricultural Products, Inc.",Sunrise Urea,Inorganic Fertilizer,N= 46%,"Food Crops, Plantation",1-1IF-7554,"December 08, 2025"
1896,"Swire Agrotech Agricultural Products, Inc.",Swire Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9315,"November 16, 2026"
1897,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",Plantation and Food crops,1-1IF-9383,"February 13, 2027"
1898,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9402,"February 26, 2027"
1899,"Swire Agrotech Agricultural Products, Inc.",Sunrise Urea,Inorganic Fertilizer,N= 46%,All Crops,1-1IF-9428,"April 03, 2027"
1900,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulfate,Inorganic Fertilizer,N= 21%,All Crops,1-1IF-8151,"January 08, 2027"
1901,"Swire Agrotech Agricultural Products, Inc.",Swire Ammonium Chloride 25-0-0,Inorganic Fertilizer,N=25%,All Crops,1-1IF-7130,"April 27, 2027"
1902,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9240,"September 19, 2026"
1903,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulfate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-9471,"May 24, 2027"
1904,"Swire Agrotech Agricultural Products, Inc.",Sunrise Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9474,"May 31, 2027"
1905,"Swire Agrotech Agricultural Products, Inc.",Swire Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9475,"May 31, 2027"
1906,"Swire Agrotech Agricultural Products, Inc.",Swire Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9484,"June 20, 2027"
1907,"Swire Agrotech Agricultural Products, Inc.",Swire Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9485,"June 20, 2027"
1908,"Swire Agrotech Agricultural Products, Inc.",Swire Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8296,"June 08, 2027"
1909,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9486,"June 20, 2027"
1910,"Swire Agrotech Agricultural Products, Inc.",Sunrise Planters 21-0-0,Inorganic Fertilizer,"N=21%, S=24%",All Crops,1-1IF-8326,"July 09, 2027"
1911,"Swire Agrotech Agricultural Products, Inc.",Swire Muriate of Potash 0-0-60,Inorganic Fertilizer,K2O=60%,All Crops,1-1IF-9525,"August 01, 2027"
1912,"Swire Agrotech Agricultural Products, Inc.",Sunrise Complete 16-16-16,Inorganic Fertilizer,"N=16%, P2O5=16%, K2O=16%",All Crops,1-1IF-9531,"July 31, 2027"
1913,"Swire Agrotech Agricultural Products, Inc.",Swire 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8503,"October 20, 2027"
1914,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea 46-0-0,Inorganic Fertilizer,N=46%,All Crops,1-1IF-7397,"December 05, 2027"
1915,"Swire Agrotech Agricultural Products, Inc.",Sunrise Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8437,"September 10, 2027"
1916,"Swire Agrotech Agricultural Products, Inc.",Swire Granular Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-7351,"October 25, 2027"
1917,"Swire Agrotech Agricultural Products, Inc.",Swire Ammonium Chloride 25-0-0 Granular,Inorganic Fertilizer,N=25%,All Crops,1-1IF-9544,"August 14, 2027"
1918,"Swire Agrotech Agricultural Products, Inc.",Swire Topdress 17-0-17,Inorganic Fertilizer,"N=17%, K2O = 17%",All Crops,1-1IF-9545,"August 14, 2027"
1919,"Swire Agrotech Agricultural Products, Inc.",Swire 14-14-14 Complete,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9604,"November 12, 2027"
1920,"Swire Agrotech Agricultural Products, Inc.",Swire 16-20-0 Ammophos,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9605,"November 12, 2027"
1921,"Swire Agrotech Agricultural Products, Inc.",Swire 16-20-0 Ammophos,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8585,"January 05, 2028"
1922,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline 21-0-0,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8575,"January 04, 2028"
1923,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-8576,"January 04, 2028"
1924,"Swire Agrotech Agricultural Products, Inc.",Swire Complete 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8584,"January 05, 2028"
1925,"Swire Agrotech Agricultural Products, Inc.",Swire Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9716,"March 24, 2028"
1926,"Swire Agrotech Agricultural Products, Inc.",Sunrise Prilled Urea,Inorganic Fertilizer,N=46%,All Crops,1-1IF-9715,"March 24, 2028"
1927,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline Ammonium Sulfate,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8674,"April 19, 2028"
1928,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8694,"May 02, 2028"
1929,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-9764,"May 21, 2028"
1930,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8729,"May 19, 2028"
1931,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8755,"June 03, 2028"
1932,"Swire Agrotech Agricultural Products, Inc.",Swire NP 16-20-0,Inorganic Fertilizer,"N=16%, P2O5=20%",All Crops,1-1IF-8754,"June 02, 2028"
1933,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-8756,"June 03, 2028"
1934,"Swire Agrotech Agricultural Products, Inc.",Swire Crystalline 21-0-0,Inorganic Fertilizer,N=21%,All Crops,1-1IF-8583,"January 05, 2028"
1935,"Swire Agrotech Agricultural Products, Inc.",Swire NPK 14-14-14,Inorganic Fertilizer,"N=14%, P2O5=14%, K2O=14%",All Crops,1-1IF-9794,"June 16, 2028"
1936,"Syngenta Philippines, Inc",MODDUS,Plant Growth Regulator,Trinexapac-ethyl=23.5%-25% w/v,Sugarcane,1-5IF-1167,"July 27, 2026"
1937,"Syngenta Philippines, Inc",Purshade,Inorganic Fertilizer,CaCO3=60%,"Pineapple, Banana, Corn, Mango, Pomelo, Citrus, Lanzones, Mangosteen, Avocado, Rambutan, Durian, Cacao, Coffee, Strawberry, & Pili Nut",1-1IF-0570-TPA,"October 17, 2025"
